number, created_at, updated_at, closed_at
30175, 2024-07-01T19:43:31Z, 2024-07-01T19:52:37Z, None
30143, 2024-06-30T06:10:41Z, 2024-07-01T08:32:07Z, 2024-07-01T08:32:07Z
30114, 2024-06-27T06:27:24Z, 2024-06-27T06:27:24Z, None
30113, 2024-06-27T00:18:49Z, 2024-06-27T13:19:19Z, None
30049, 2024-06-23T02:21:47Z, 2024-06-24T12:27:01Z, None
30041, 2024-06-22T11:14:36Z, 2024-07-01T08:27:38Z, None
29956, 2024-06-19T23:12:56Z, 2024-06-24T17:54:09Z, 2024-06-24T17:49:53Z
29904, 2024-06-15T03:59:31Z, 2024-06-15T03:59:43Z, 2024-06-15T03:59:42Z
29900, 2024-06-14T18:39:33Z, 2024-06-16T04:10:15Z, None
29895, 2024-06-14T09:22:54Z, 2024-06-18T12:47:06Z, None
29892, 2024-06-13T20:40:41Z, 2024-06-20T18:42:30Z, None
29890, 2024-06-13T17:45:37Z, 2024-07-01T13:43:48Z, None
29854, 2024-06-11T12:48:51Z, 2024-06-12T18:13:19Z, 2024-06-12T18:13:18Z
29832, 2024-06-10T15:29:09Z, 2024-06-15T10:41:27Z, None
29788, 2024-06-06T19:59:05Z, 2024-06-06T20:01:51Z, None
29755, 2024-06-04T14:19:13Z, 2024-06-07T00:32:18Z, None
29741, 2024-06-03T20:12:00Z, 2024-06-07T00:20:06Z, 2024-06-07T00:20:06Z
29724, 2024-06-03T11:21:16Z, 2024-06-05T18:46:31Z, 2024-06-05T10:17:37Z
29703, 2024-06-01T11:37:35Z, 2024-06-13T20:50:22Z, 2024-06-07T00:20:19Z
29677, 2024-05-31T05:32:01Z, 2024-05-31T23:13:55Z, None
29674, 2024-05-30T22:32:16Z, 2024-06-17T19:27:20Z, 2024-06-17T19:27:20Z
29651, 2024-05-29T17:03:30Z, 2024-05-29T17:03:30Z, None
29648, 2024-05-29T16:37:36Z, 2024-06-20T22:33:08Z, None
29647, 2024-05-29T12:44:16Z, 2024-05-29T12:44:16Z, None
29641, 2024-05-29T09:20:05Z, 2024-05-29T09:24:50Z, 2024-05-29T09:24:50Z
29640, 2024-05-29T09:16:03Z, 2024-06-03T20:27:57Z, None
29639, 2024-05-29T08:57:33Z, 2024-06-08T15:02:40Z, None
29604, 2024-05-28T09:55:35Z, 2024-05-28T09:55:50Z, 2024-05-28T09:55:49Z
29588, 2024-05-25T03:47:26Z, 2024-05-25T03:47:26Z, None
29587, 2024-05-25T02:25:13Z, 2024-06-03T20:15:28Z, None
29586, 2024-05-25T01:58:51Z, 2024-05-29T14:45:59Z, 2024-05-29T14:45:59Z
29583, 2024-05-24T16:33:58Z, 2024-05-25T14:50:48Z, 2024-05-25T00:52:00Z
29580, 2024-05-24T15:12:44Z, 2024-05-24T22:21:51Z, 2024-05-24T22:21:51Z
29227, 2024-05-23T06:00:51Z, 2024-05-24T22:23:18Z, None
29224, 2024-05-22T22:28:15Z, 2024-06-09T16:10:09Z, None
29202, 2024-05-21T19:05:46Z, 2024-05-22T22:50:37Z, 2024-05-22T16:35:46Z
29196, 2024-05-21T12:08:31Z, 2024-06-03T20:05:09Z, None
29195, 2024-05-21T11:57:09Z, 2024-05-25T06:24:56Z, None
29194, 2024-05-21T11:19:48Z, 2024-05-24T23:13:02Z, None
29191, 2024-05-21T09:38:19Z, 2024-05-21T09:40:26Z, None
29174, 2024-05-20T14:41:40Z, 2024-05-20T15:08:41Z, 2024-05-20T15:08:40Z
29172, 2024-05-20T10:21:44Z, 2024-05-25T13:59:45Z, None
29165, 2024-05-19T03:57:44Z, 2024-06-09T06:09:27Z, None
29164, 2024-05-19T02:48:48Z, 2024-06-03T18:33:35Z, None
29161, 2024-05-18T02:26:30Z, 2024-05-29T17:40:16Z, 2024-05-29T16:27:48Z
29160, 2024-05-18T01:22:31Z, 2024-06-03T20:03:42Z, None
29144, 2024-05-17T18:54:58Z, 2024-05-17T19:35:47Z, 2024-05-17T19:35:46Z
29018, 2024-05-08T00:40:11Z, 2024-05-15T16:03:25Z, None
28984, 2024-05-03T14:42:42Z, 2024-05-03T14:45:49Z, None
28960, 2024-04-30T20:09:34Z, 2024-05-16T07:45:23Z, 2024-05-02T20:08:42Z
28923, 2024-04-26T12:28:58Z, 2024-05-31T21:52:48Z, 2024-05-31T21:52:48Z
28915, 2024-04-25T22:21:44Z, 2024-06-01T20:41:01Z, 2024-04-26T17:02:11Z
28903, 2024-04-24T14:29:52Z, 2024-04-24T14:30:30Z, 2024-04-24T14:30:30Z
28862, 2024-04-18T06:12:03Z, 2024-04-18T20:52:40Z, 2024-04-18T20:52:39Z
28861, 2024-04-18T06:09:25Z, 2024-04-18T06:10:30Z, 2024-04-18T06:09:37Z
28839, 2024-04-15T11:56:03Z, 2024-04-15T16:01:35Z, 2024-04-15T14:37:39Z
28838, 2024-04-15T08:12:12Z, 2024-04-15T18:06:37Z, None
28787, 2024-04-09T01:55:40Z, 2024-04-09T13:26:54Z, None
28777, 2024-04-07T08:30:58Z, 2024-05-02T23:27:29Z, None
28767, 2024-04-05T15:34:48Z, 2024-04-28T21:47:52Z, None
28584, 2024-03-19T00:40:07Z, 2024-06-26T01:15:06Z, None
28556, 2024-03-14T07:30:03Z, 2024-03-20T15:15:24Z, 2024-03-20T15:15:24Z
28505, 2024-03-06T09:45:18Z, 2024-05-10T21:48:54Z, None
28485, 2024-03-04T15:21:28Z, 2024-03-04T15:21:43Z, 2024-03-04T15:21:41Z
28474, 2024-02-29T23:26:36Z, 2024-03-05T16:41:16Z, 2024-03-05T16:41:16Z
28443, 2024-02-26T13:36:59Z, 2024-06-21T23:56:01Z, None
28323, 2024-02-14T04:18:46Z, 2024-04-15T15:18:21Z, 2024-03-25T13:28:30Z
28230, 2024-02-04T01:57:48Z, 2024-02-05T14:04:51Z, 2024-02-05T14:00:36Z
28107, 2024-01-26T10:00:32Z, 2024-01-26T10:00:45Z, 2024-01-26T10:00:44Z
28081, 2024-01-25T13:47:50Z, 2024-01-25T13:48:08Z, 2024-01-25T13:48:08Z
28058, 2024-01-23T12:56:37Z, 2024-02-14T11:51:06Z, None
28035, 2024-01-21T06:48:34Z, 2024-01-23T16:45:11Z, 2024-01-23T13:20:29Z
27992, 2024-01-18T21:41:56Z, 2024-04-13T00:52:14Z, None
27989, 2024-01-18T20:06:13Z, 2024-02-06T16:45:19Z, 2024-02-06T16:45:19Z
27953, 2024-01-15T22:12:06Z, 2024-01-15T22:12:18Z, 2024-01-15T22:12:18Z
27938, 2024-01-15T13:25:29Z, 2024-06-07T18:49:30Z, None
27933, 2024-01-13T07:36:53Z, 2024-02-25T20:10:10Z, None
27908, 2024-01-09T10:48:50Z, 2024-01-11T18:10:53Z, 2024-01-11T18:10:53Z
27902, 2024-01-08T19:24:18Z, 2024-01-09T13:24:11Z, 2024-01-09T13:23:17Z
27889, 2024-01-07T05:08:52Z, 2024-03-14T15:59:55Z, 2024-02-22T11:42:53Z
27875, 2024-01-03T07:15:18Z, 2024-01-03T11:22:57Z, 2024-01-03T11:22:57Z
27872, 2024-01-02T20:13:02Z, 2024-04-05T12:25:10Z, None
27851, 2023-12-20T09:02:13Z, 2024-06-27T13:37:00Z, 2024-06-27T13:29:28Z
27834, 2023-12-13T18:28:15Z, 2024-01-02T13:47:56Z, 2024-01-02T13:47:49Z
